tweet_id,airline_sentiment,airline_sentiment_confidence,airline,text,tweet_created,retweet_count,date,hour,sentiment_score,roberta_label,roberta_confidence
570306133677760513,neutral,1.0,Virgin America,@VirginAmerica What @dhepburn said.,2015-02-24 11:35:52-08:00,0,2015-02-24,11,0,neutral,0.8863000273704529
570301130888122368,positive,0.3486,Virgin America,@VirginAmerica plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59-08:00,0,2015-02-24,11,1,negative,0.9211515784263611
570301083672813571,neutral,0.6837,Virgin America,@VirginAmerica I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48-08:00,0,2015-02-24,11,0,negative,0.6412566900253296
570301031407624196,negative,1.0,Virgin America,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36-08:00,0,2015-02-24,11,-1,negative,0.9141682386398315
570300817074462722,negative,1.0,Virgin America,@VirginAmerica and it's a really big bad thing about it,2015-02-24 11:14:45-08:00,0,2015-02-24,11,-1,negative,0.9382091760635376
570300767074181121,negative,1.0,Virgin America,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2015-02-24 11:14:33-08:00,0,2015-02-24,11,-1,negative,0.8962814211845398
570300616901320704,positive,0.6745,Virgin America,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57-08:00,0,2015-02-24,11,1,negative,0.7614869475364685
570300248553349120,neutral,0.634,Virgin America,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2015-02-24 11:12:29-08:00,0,2015-02-24,11,0,negative,0.8952985405921936
570299953286942721,positive,0.6559,Virgin America,"@virginamerica Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19-08:00,0,2015-02-24,11,1,positive,0.9165881276130676
570295459631263746,positive,1.0,Virgin America,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27-08:00,0,2015-02-24,10,1,positive,0.9892332553863525
570294189143031808,neutral,0.6769,Virgin America,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24 10:48:24-08:00,0,2015-02-24,10,0,negative,0.8738214373588562
570289724453216256,positive,1.0,Virgin America,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,2015-02-24 10:30:40-08:00,0,2015-02-24,10,1,positive,0.9841436147689819
570289584061480960,positive,1.0,Virgin America,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,2015-02-24 10:30:06-08:00,0,2015-02-24,10,1,positive,0.985805332660675
570287408438120448,positive,0.6451,Virgin America,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,2015-02-24 10:21:28-08:00,0,2015-02-24,10,1,positive,0.9696856737136841
570285904809598977,positive,1.0,Virgin America,@VirginAmerica Thanks!,2015-02-24 10:15:29-08:00,0,2015-02-24,10,1,positive,0.6961564421653748
570282469121007616,negative,0.6842,Virgin America,@VirginAmerica SFO-PDX schedule is still MIA.,2015-02-24 10:01:50-08:00,0,2015-02-24,10,-1,negative,0.6125876903533936
570277724385734656,positive,1.0,Virgin America,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2015-02-24 09:42:59-08:00,0,2015-02-24,9,1,positive,0.9915081262588501
570276917301137409,negative,1.0,Virgin America,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2015-02-24 09:39:46-08:00,0,2015-02-24,9,-1,negative,0.8010464310646057
570270684619923457,positive,1.0,Virgin America,I ❤️ flying @VirginAmerica. ☺️👍,2015-02-24 09:15:00-08:00,0,2015-02-24,9,1,positive,0.9881396293640137
570267956648792064,positive,1.0,Virgin America,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2015-02-24 09:04:10-08:00,0,2015-02-24,9,1,positive,0.9864019751548767
570265883513384960,negative,0.6705,Virgin America,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,2015-02-24 08:55:56-08:00,0,2015-02-24,8,-1,negative,0.6736071109771729
